Date,Adj Close,Date,Adj Close
1/3/2012,2648.719971,1/3/2012,24.33
1/4/2012,2648.360107,1/4/2012,23.99
1/5/2012,2669.860107,1/5/2012,23.75
1/6/2012,2674.219971,1/6/2012,21.83
1/9/2012,2676.560059,1/9/2012,21.92
1/10/2012,2702.5,1/10/2012,22.42
1/11/2012,2710.76001,1/11/2012,22.58
1/12/2012,2724.699951,1/12/2012,22.360001
1/13/2012,2710.669922,1/13/2012,22.58
1/17/2012,2728.080078,1/17/2012,22.08
1/18/2012,2769.709961,1/18/2012,22.639999
1/19/2012,2788.330078,1/19/2012,23.440001
1/20/2012,2786.699951,1/20/2012,23.540001
1/23/2012,2784.169922,1/23/2012,23.65
1/24/2012,2786.639893,1/24/2012,23.59
1/25/2012,2818.310059,1/25/2012,23.35
1/26/2012,2805.280029,1/26/2012,23.540001
1/27/2012,2816.550049,1/27/2012,23.35
1/30/2012,2811.939941,1/30/2012,23.290001
1/31/2012,2813.840088,1/31/2012,23.530001
2/1/2012,2848.27002,2/1/2012,24.110001
2/2/2012,2859.679932,2/2/2012,24.1
2/3/2012,2905.659912,2/3/2012,24.25
2/6/2012,2901.98999,2/6/2012,23.16
2/7/2012,2904.080078,2/7/2012,22.99
2/8/2012,2915.860107,2/8/2012,23.629999
2/9/2012,2927.22998,2/9/2012,23.25
2/10/2012,2903.879883,2/10/2012,23.459999
2/13/2012,2931.389893,2/13/2012,23.219999
2/14/2012,2931.830078,2/14/2012,22.870001
2/15/2012,2915.830078,2/15/2012,22.549999
2/16/2012,2959.850098,2/16/2012,22.549999
2/17/2012,2951.780029,2/17/2012,22.5
2/21/2012,2948.570068,2/21/2012,21.440001
2/22/2012,2933.169922,2/22/2012,20.92
2/23/2012,2956.97998,2/23/2012,20.48
2/24/2012,2963.75,2/24/2012,20.77
2/27/2012,2966.159912,2/27/2012,22.290001
2/28/2012,2986.76001,2/28/2012,22.48
2/29/2012,2966.889893,2/29/2012,23.01
3/1/2012,2988.969971,3/1/2012,23.690001
3/2/2012,2976.189941,3/2/2012,24.129999
3/5/2012,2950.47998,3/5/2012,23.18
3/6/2012,2910.320068,3/6/2012,23.15
3/7/2012,2935.689941,3/7/2012,23.129999
3/8/2012,2970.419922,3/8/2012,23.84
3/9/2012,2988.340088,3/9/2012,23.719999
3/12/2012,2983.659912,3/12/2012,23.530001
3/13/2012,3039.879883,3/13/2012,23.540001
3/14/2012,3040.72998,3/14/2012,23
3/15/2012,3056.370117,3/15/2012,23.040001
3/16/2012,3055.26001,3/16/2012,23
3/19/2012,3078.320068,3/19/2012,23.059999
