Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
February 2012,159702,0.004093034,-0.015872923,302265,0.103003096,0.135592849,511432,0.072785585,0.056927329,2078653,0.011584601,-0.164505382,98,1,-10,0.958053002,0.001865254,0.003026066
March 2012,170636,0.068467092,0.041520833,390571,0.292149486,0.066077918,619410,0.211129096,-0.04863532,2119417,0.019610997,-0.165627419,93,-4,-13,0.96174633,0.003693328,0.005927397
April 2012,177838,0.042203451,0.061744797,401238,0.027310113,0.080962106,604699,-0.023749287,-0.021595386,2155676,0.017108035,-0.166588139,81,-12,-17,0.965164723,0.003418393,0.007132483
May 2012,186118,0.046562006,0.084779752,460225,0.147012167,0.163165254,606793,0.003462784,0.000391114,2164369,0.004032779,-0.171791457,73,-8,-17,0.968507638,0.003342915,0.009659067
June 2012,193679,0.040622862,0.07438936,483669,0.050940813,0.095784879,573030,-0.055642768,-0.029948422,2147108,-0.007975449,-0.174068911,68,-4,-15,0.970363236,0.001855598,0.010253868
July 2012,191925,-0.009057671,0.074667447,447197,-0.075407241,0.137079057,537629,-0.061778534,0.030217027,2111408,-0.016626697,-0.172435017,69,0,-15,0.970664512,0.000301276,0.010854137
August 2012,190580,-0.007003578,0.086011867,481352,0.076375477,0.144801041,532949,-0.008704488,0.017171209,2051149,-0.028539678,-0.172232091,70,2,-15,0.969767177,-0.000897335,0.011165237
September 2012,187081,-0.018359886,0.090246419,388930,-0.192004149,0.040721329,476141,-0.106590785,0.001773128,2012610,-0.018789131,-0.162994675,72,2,-17,0.969680412,-8.67647E-05,0.011559835
October 2012,184248,-0.015145005,0.100319767,419766,0.079283707,0.224582444,483448,0.015345246,0.058650585,1939244,-0.036453094,-0.166142153,73,1,-19,0.969460633,-0.000219779,0.012054638
November 2012,188951,0.025526903,0.112983088,395463,-0.057896578,0.20348103,383149,-0.207466397,-0.022688286,1826985,-0.057888219,-0.176310699,73,0,-19,0.969245256,-0.000215377,0.011382603
